"","Head   238","Department of Fiscal Policy","","",""
"","","Programme 01","Operational Activities","126,000,000","3,500,000"
"","Head   239","Department of External  Resources","","",""
"","","Programme 01","Operational Activities","363,000,000","740,000,000"
"5","Head   240","Department of National Budget","","",""
"","","Programme 01","Operational Activities","294,000,000","377,000,000"
"","","Programme 02","Development Activities","","57,097,300,000   106,514,700,000"
"","Head   241","Department of Public Enterprises","","",""
"","","Programme 01","Operational Activities","162,000,000","78,513,000,000"
"10","Head   242","Department of Management Services","","",""
"","","Programme 01","Operational Activities","173,000,000","19,000,000"
"","Head   243","Department of Development Finance","","",""
"","","Programme 01","Operational Activities","14,093,000,000","16,000,000"
"","","Programme 02","Development Activities","","-     45,419,000,000"
"15","Head   244","Department of Trade and Investment Policies","","",""
"","","Programme 01","Operational Activities","137,000,000","2,524,000,000"
"","Head   245","Department of Public Finance","","",""
"","","Programme 01","Operational Activities","140,000,000","407,000,000"
"","Head   246","Department of Inland Revenue","","",""
"20","","Programme 01","Operational Activities","7,035,000,000","7,932,000,000"
