"","Head","","Recurrent","Capital",""
"","No.","","Expenditure","","Expenditure"
"","","","Rs.","Rs.",""
"","Head   297","Department of The Registrar of Companies","","",""
"","","Programme 01 
Operational Activities","125,000,000","","-"
"","Head   298","Department of Measurement Units, Standards and Services","","",""
"","","Programme 01 
Operational Activities","245,000,000","","-"
"5","Head   299","National Intellectual Property Office of Sri Lanka","","",""
"","","Programme 01 
Operational Activities","80,000,000","","-"
"","Head   300","Department of Food Commissioner","","",""
"","","Programme 01 
Operational Activities","103,000,000","207,000,000",""
"","Head   301","Department of Co-operative Development (Registrar of Co-operative Societies)","","",""
"10","","Programme 01 
Operational Activities","95,000,000","102,000,000",""
"","Head   302","Co-operative Employees Commission","","",""
"","","Programme 01 
Operational Activities","26,000,000","1,000,000",""
"","","Ministry of Transport, Highways, Ports and Civil Aviation","","",""
"","","Recurrent 
 
 56,000,000,000","","",""
"15","","Capital 
 
 390,000,000,000","","",""
