"","","","SCHEDULE",""
"","","Column  I","","Column II"
"","","Commodity  Item","",""
"","H.S.","H.S.  Code","Description","Special  Commodity  Levy"
"","Heading","","",""
"01.","08.04","0804.10.10","Dates - Fresh","Rs. 80.00 per kg."
"","","0804.10.20","Dates - Dried","Rs. 80.00 per kg."
"02.","08.05","0805.10.10","Oranges - Fresh","Rs. 80.00 per kg."
"03.","08.08","0808.10","Apples - Fresh","Rs. 60.00 per kg."
"04.","15.07","","Soya-bean  oil  and  its  fractions,  whether",""
"","","","or  not  refined,  but  not  chemically",""
"","","","modified",""
"","","1507.10","Crude oil, whether or not degummed","Rs. 175.00 per kg."
"","","1507.90","Other","Rs. 195.00 per kg."
"","15.11","","Palm oil and its fractions, whether",""
"","","","or not refined, but not chemically",""
"","","","modified",""
"","","1511.10","Crude oil","Rs. 175.00 per kg."
"","","1511.90","Other",""
"","","1511.90.10","Serial  fractions  at  room  temperature","Rs. 175.00 per kg."
"","","","(palm  stearin)",""
"","","1511.90.20","Palm oil imported in packing of 210l","Rs. 200.00 per kg."
"","","","and below",""
"","","1511.90.30","Crude palm olein","Rs. 180.00 per kg."
"","","1511.90.90","Other","Rs. 200.00 per kg."
"","15.12","","Sunflower  seed,  safflower  or  cotton-",""
"","","","seed  oil  and  fractions  thereof,  whether",""
"","","","or  not  refined,  but  not  chemically",""
"","","","modified",""
"","","","Sunflower-seed  or  safflower  oil",""
"","","","and fractions thereof :",""
"","","1512.11","Crude oil","Rs. 175.00 per kg."
"","","1512.19","Other","Rs. 195.00 per kg."
"","15.13","","Coconut (copra), palm kernel or babassu",""
"","","","oil and fractions thereof, whether or not",""
"","","","refined,  but  not  chemically  modified",""
"","","","Coconut (copra) oil and its fractions :",""
"","","1513.11","Crude oil :",""
"","","","In bulk :",""
"","","1513.11.11","Virgin coconut oil","Rs. 195.00 per kg."
"","","1513.11.19","Other","Rs. 195.00 per kg."
"","","","Other :",""
"","","1513.11.21","Virgin coconut oil","Rs. 195.00 per kg."
"","","1513.11.29","Other","Rs. 195.00 per kg."
