"151 District  Secretariat/Kachcheri,","27101 Advances  to  Public  Officers","29,830,000","12,000,000","105,000,000","—"
"Trincomalee","","","","",""
"152 District  Secretariat,  Kurunegala 27201 Advances  to  Public  Officers","","86,350,000","65,000,000","330,000,000","—"
"153 District  Secretariat,  Puttalam","27301 Advances  to  Public  Officers","41,300,000","27,000,000","180,000,000","—"
"154 District  Secretariat,","27401 Advances  to  Public  Officers","60,000,000","32,000,000","210,000,000","—"
"Anuradhapura","","","","",""
"155 District  Secretariat,","27501 Advances  to  Public  Officers","23,550,000","13,500,000","103,000,000","—"
"Polonnaruwa","","","","",""
"156 District  Secretariat,  Badulla","27601 Advances  to  Public  Officers","36,110,000","30,000,000","145,000,000","—"
"157 District  Secretariat,","27701 Advances  to  Public  Officers","31,400,000","20,000,000","114,000,000","—"
"Monaragala","","","","",""
"158 District  Secretariat,  Ratnapura","27801 Advances  to  Public  Officers","41,605,000","27,000,000","165,000,000","—"
"159 District  Secretariat,  Kegalle","27901 Advances  to  Public  Officers","47,100,000","32,500,000","165,000,000","—"
"160 Department  of  Foreign  Aid","28001 Advances  to  Public  Officers","4,710,000","2,000,000","18,000,000","—"
"and  Budget  Monitoring","","","","",""
"161 Department  of  Agrarian","28101 Advances  to  Public  Officers","300,000,000","130,000,000","830,000,000","—"
"Development","","","","",""
"162 Department  of  Irrigation","28201 Advances  to  Public  Officers","141,300,000","103,000,000","480,000,000","—"
"163 Department  of  Forests","28301 Advances  to  Public  Officers","61,230,000","40,000,000","328,000,000","—"
"164 Department  of  Wild  Life","28401 Advances  to  Public  Officers","39,250,000","24,000,000","120,000,000","—"
"Conservation","","","","",""
"165 Department  of  Agriculture","28501 Advances  to  Public  Officers","149,150,000","100,399,000","500,000,000","—"
"166 Department  of  Agriculture","28502 Maintenance  of  Agricultural","300,000,000","270,000,000","50,000,000","—"
"","Farms and Seed Sales","","","",""
"167 Department  of  Land","28601 Advances  to  Public  Officers","20,410,000","10,000,000","88,000,000","—"
"Commissioner  General","","","","",""
"168 Department  of  Land","28701 Advances  to  Public  Officers","13,000,000","4,900,000","35,000,000","—"
"Settlement","","","","",""
"169 Department  of Surveyor","28801 Advances  to  Public  Officers","125,600,000","100,000,000","485,000,000","—"
"General","","","","",""
