"","","Capital","","3,039,205,000",""
"Made  up  as  follows  :—","","","","",""
"Head","1","His  Excellency  the  President","","",""
"","","Programme  01","Operational  Activities","2,246,230,000","702,000,000"
"","","Programme  02","Development  Activities","—","1,387,000,000"
"Head","2","Office  of  the  Prime  Minister","","",""
"","","Programme  01","Operational  Activities","162,660,000","45,680,000"
"Head","3","Secretariat  for  Special  Functions  (Senior  Ministers)","","",""
"","","Programme  01","Operational  Activities","150,000,000","50,000,000"
"Head","4","Judges  of  the  Superior  Courts","","",""
"","","Programme  01","Operational  Activities","58,421,000","—"
"Head","5","Office  of  the  Cabinet  of  Ministers","","",""
"","","Programme  01","Operational  Activities","46,970,000","3,350,000"
