"8 8","Department  of  Government","21101 Advances  to  Public  Officers","62,800,000","37,000,000","285,000,000","—",""
"","Printer","","","","","",""
"8 9","Department  of  Examinations","21201 Advances  to  Public  Officers","21,195,000","13,500,000","113,000,000","—",""
"9 0","Department  of  Educational","21301 Advances  to  Public  Officers","6,280,000","3,600,000","28,000,000","—",""
"","Publications","","","","","",""
"9 1","Department  of  Educational","21302    Printing,  Publicity  and","2,900,000,000","2,900,000,000","4,000,000,000","500,000,000",""
"","Publications","Sales of Publications","","","","",""
"9 2","Department  of  Technical","21501 Advances  to  Public  Officers","65,700,000","42,000,000","280,000,000","",""
"","Education  and  Training","","","","","",""
"9 3","Department  of  Social","21601 Advances  to  Public  Officers","21,980,000","11,200,000","98,000,000","—",""
"","Services","","","","","",""
"9 4","Department  of  Probation","21701 Advances  to  Public  Officers","14,915,000","6,200,000","63,000,000","—",""
"","and  Child  Care  Services","","","","","",""
"9 5","Department  of  Commissioner","21801 Advances  to  Public  Officers","17,800,000","9,000,000","82,000,000","—",""
"","General  of  Samurdhi","","","","","",""
"9 6","Department  of  Sports","21901 Advances  to  Public  Officers","7,850,000","3,900,000","33,000,000","—","Appropriation Act, No. 20 of 2010"
"","Development","","","","","",""
"9 7","Department  of  Ayurveda","22001 Advances  to  Public  Officers","47,100,000","17,000,000","155,000,000","—",""
"9 8","Department  of  Labour","22101 Advances  to  Public  Officers","84,780,000","46,000,000","160,000,000","—",""
"9 9","Sri  Lanka  Army","22201 Advances  to  Public  Officers 2,134,500,000","","1,650,000,000","5,000,000,000","—",""
"100","Sri  Lanka  Navy","22301 Advances  to  Public  Officers","593,890,000","210,000,000","1,000,000,000","—",""
"101","Sri  Lanka  Navy","22302    Stores  Advance  Account","386,000,000","400,000,000","380,000,000","—",""
"","","(Explosive items)","","","","",""
"102","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","549,500,000","450,000,000","1,550,000,000","—",""
"103 Department  of  Police","","22501 Advances  to  Public  Officers 1,686,297,000","","1,100,000,000","4,500,000,000","—",""
"104 Department  of  Immigration","","22601 Advances  to  Public  Officers","23,550,000","18,000,000","142,000,000","—",""
"","and  Emigration","","","","","",""
"105 Department  of  Registration","","22701 Advances  to  Public  Officers","21,195,000","14,000,000","80,000,000","—",""
"","of  Persons","","","","","",""
"1 0 6 Courts  Administration","","22801 Advances  to  Public  Officers","176,625,000","160,000,000","735,000,000","—","49"
