"1 0","Commission  to  Investigate","01001 Advances  to  Public  Officers","7,850,000","3,000,000","35,000,000","—"
"","Allegations  of  Bribery  or","","","","",""
"","Corruption","","","","",""
"1 1","Commission  to  Investigate","01002Advancing  monies  to  be  used","7,000,000","1,500,000","7,500,000","—"
"","Allegations  of  Bribery  or","in  bribery  detection  as  bribes","","","",""
"","Corruption","","","","",""
"1 2","Office  of  the  Finance","01101 Advances  to  Public  Officers","4,553,000","3,000,000","22,000,000","—"
"","Commission","","","","",""
"1 3","National  Education","01201 Advances  to  Public  Officers","1,570,000","600,000","6,000,000","—"
"","Commission","","","","",""
"1 4","Human  Rights  Commission","01301 Advances  to  Public  Officers","1,962,000","292,000","4,500,000","—"
"","of  Sri  Lanka","","","","",""
"1 5","Department  of  Attorney","01401 Advances  to  Public  Officers","19,625,000","11,000,000","88,000,000","—"
"","General","","","","",""
"1 6","Department  of  Legal","01501 Advances  to  Public  Officers","6,280,000","2,000,000","24,000,000","—"
"","Draftsman","","","","",""
"1 7","Parliament","01601 Advances  to  Public  Officers","29,045,000","20,000,000","165,000,000","—"
"1 8","Office  of  the  Leader  of  the","01701 Advances  to  Public  Officers","1,178,000","900,000","5,000,000","—"
"","House  of  Parliament","","","","",""
"1 9","Office  of  the  Chief    Govern-","01801 Advances  to  Public  Officers","1,178,000","950,000","7,500,000","—"
"","ment  Whip  of    Parliament","","","","",""
"2 0","Office  of  the  Leader  of  the","01901 Advances  to  Public  Officers","1,570,000","1,000,000","10,000,000","—"
"","Opposition  of  Parliament","","","","",""
"2 1","Department  of  Elections","02001 Advances  to  Public  Officers","23,550,000","16,000,000","80,000,000","—"
"2 2","Auditor-General","02101 Advances  to  Public  Officers","57,305,000","37,000,000","300,000,000","—"
"2 3","Office  of  the  Parliamentary","02201 Advances  to  Public  Officers","785,000","200,000","4,000,000","—"
"","Commissioner","","","","",""
"","for  Administration","","","","",""
"2 4","Minister  of  Buddha  Sasana","10101 Advances  to  Public  Officers","5,495,000","1,900,000","19,000,000","—"
"","and  Religious  Affairs","","","","",""
"2 5","Minister  of  Finance  and","10201 Advances  to  Public  Officers","21,980,000","11,000,000","90,000,000","—"
"","Planning","","","","",""
