"Made  up  as  follows  :—","","","","",""
"Head","","153 Minister  of  Land  and  Land  Development","","",""
"","","Programme  01","Operational  Activities","111,969,000","11,450,000"
"","","Programme  02","Development  Activities","—","2,420,000,000"
"Head","286","Department  of  Land  Commissioner","","",""
"","","Programme  02","Development  Activities","177,300,000","305,000,000"
"Head","287","Department  of  Land  Settlement","","",""
"","","Programme  02","Development  Activities","175,401,000","6,600,000"
"Head","288","Department  of  Surveyor  General","","",""
"","","Programme  01","Operational  Activities","140,990,000","31,518,000"
"","","Programme  02","Development  Activities","1,536,046,000","96,890,000"
"Head","327","Department  of  Land  Use  Policy  Planning","","",""
"","","Programme  02","Development  Activities","139,460,000","52,900,000"
