"Head","","","","Recurrent","Capital","28"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"Head","219","Department  of  Sports  Development","","","",""
"","","Programme  01","Operational  Activities","76,230,000","8,950,000",""
"","","Programme  02","Development  Activities","190,275,000","1,126,000,000",""
"","","Ministry  of  Indigenous  Medicine","","","",""
"","","Recurrent","","787,317,000","",""
"","","Capital","","288,960,000","",""
"Made  up  as  follows  :—","","","","","",""
"Head","","138 Minister  of  Indigenous  Medicine","","","",""
"","","Programme  01","Operational  Activities","169,750,000","69,100,000",""
"","","Programme  02","Development  Activities","—","80,010,000","Appropriation Act, No. 20 of 2010"
"Head","220","Department  of  Ayurveda","","","",""
"","","Programme  01","Operational  Activities","184,438,000","7,200,000",""
"","","Programme  02","Development  Activities","433,129,000","132,650,000",""
"","","Ministry  of  Fisheries  and  Aquatic  Resources  Development","","","",""
"","","Recurrent","","768,550,000","",""
"","","Capital","","3,649,170,000","",""
"Made  up  as  follows  :—","","","","","",""
"Head","","139 Minister  of  Fisheries  and  Aquatic  Resources  Development","","","",""
"","","Programme  01","Operational  Activities","127,460,000","61,000,000",""
"","","Programme  02","Development  Activities","433,000,000","3,558,620,000",""
"Head","290","Department  of  Fisheries  and  Aquatic  Resources","","","",""
"","","Programme  01","Operational  Activities","208,090,000","29,550,000",""
