"111 Ministry of Health","","Medical Ordinance (Chp. 105)","Programme 01-","2,000","—","2,000"
"","","","Operational  Activities","","",""
"239","Department of External  Resources","The Bretton Woods Agreement of","Programme 01-","378,000,000","460,000,000","838,000,000"
"","","No. 10, 1978 (Special Provisions)","Operational  Activities","","",""
"249","Department of Treasury Operations","Ceylon Development Loans Act","Programme 01-","350,000,000,000","","465,000,000,000 815,000,000,000"
"","","(Chp. 407), National Development","Operational  Activities","","",""
"","","Loan Ordinance 1945 (Chp. 408),","","","",""
"","","National Development Loan","","","",""
"","","1950 Act (Chp. 409), Registered","","","",""
"","","Stock and Securities Ordinance","","","",""
"","","1937 Act (as Amended) Foreign","","","",""
"","","Loans Act (as Amended)","","","",""
"253","Department of Pensions","Widow’s and Orphan’s Pension","Programme 01-","19,630,000,000","—","19,630,000,000"
"","","Fund Ordinance (Chp. 431)","Operational  Activities","","",""
"","","No. 01 of 1898 and subsequent","","","",""
"","","amendments, Widowers and","","","",""
"","","Orphans Pensions Act No. 24 of","","","",""
"","","1983, Widowers and Orphans","","","",""
"","","Pension Scheme(Armed Forces)","","","",""
"","","Act No. 18 of 1970, School","","","",""
"","","Teacher’s Pensions Act (Chp. 432)","","","",""
"","","No. 44 of 1953","","","",""
