"","","of the","Accounts of","of the","of the"
"","","Government","Activities of","Government","Government"
"","","","the Government","",""
"","","Rs.","Rs.","Rs.","Rs."
"196 Department  of  Civil  Security","32001 Advances  to  Public  Officers","141,300,000","50,000,000","275,000,000","—"
"197 Department  of  National","32201 Advances  to  Public  Officers","15,700,000","8,300,000","57,000,000","—"
"Botanical  Gardens","","","","",""
"198 Department  of  Legal  Affairs","32301 Advances  to  Public  Officers","392,000","100,000","2,000,000","—"
"199 Department  of  Management","32401 Advances  to  Public  Officers","2,000,000","1,200,000","11,000,000","—"
"Audit","","","","",""
"200 Department  of  Community","32601 Advances  to  Public  Officers","2,355,000","2,000,000","17,000,000","—"
"Based  Correction","","","","",""
"201 Department  of  Land  Use","32701 Advances  to  Public  Officers","14,130,000","6,500,000","42,803,000","—"
"Policy  Planning","","","","",""
