"","","","I","II
III
IV","V"
"","SRL","Ministries / Departments","Item
Activities of the Government","Maximum
Minimum
Maximum","Maximum"
"","No.","","No.","Limits of
Limits of
Limits of","Limits of"
"","","","","Expenditure
Receipts  to  be Debit Balance","Liabilities"
"","","","","of Activities
credited  to  the
of Activities","of Activities"
"","","","","of the
Accounts  of
of  the","of the"
"","","","","Government
Activities  of the
Government","Government"
"","","","","Government",""
"","","","","Rs.
Rs.
Rs.","Rs."
"","105","Department  of  Social  Services","21601 Advances  to  Public  Officers","23,000,000
  20,000,000
90,000,000","—"
"","106","Department  of  Probation  and","","",""
"","","Child  Care  Services","21701 Advances  to  Public  Officers","15,000,000
11,800,000
80,000,000","—"
"","107","Department  of  Sports","","",""
"5","","Development","21901 Advances  to  Public  Officers","16,000,000
8,500,000
  50,000,000","—"
"","108","Department  of  Ayurveda","22001 Advances  to  Public  Officers","55,000,000     41,900,000   190,000,000","—"
"","109","Department  of  Labour","22101 Advances  to  Public  Officers","78,000,000     70,000,000   280,000,000","—"
"","110","Sri  Lanka  Army","22201 Advances  to  Public  Officers","3,165,100,000
2,690,000,000
5,965,000,000","—"
"","111","Sri  Lanka  Navy","22301 Advances  to  Public  Officers","650,000,000        447,000,000      900,000,000","—"
"10","112","Sri  Lanka  Navy","22302 Stores  Advance  Account","",""
"","","","(Explosive  items)","570,000,000 640,000,000   200,000,000","—"
"","113","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","400,000,000
380,000,000
1,000,000,000","—"
"","114","Department  of  Police","22501 Advances  to  Public  Officers","1,100,000,000
1,060,000,000
2,300,000,000","—"
"","115","Department  of  Immigration  and","","",""
"","","Emigration","22601 Advances  to  Public  Officers","41,000,000
38,800,000 160,000,000","—"
"","116","Department  of  Registration  of","","",""
"15","","","","",""
"","","Persons","22701 Advances  to  Public  Officers","48,000,000
29,500,000 150,000,000","—"
"","117","Courts  Administration","22801 Advances  to  Public  Officers","475,000,000
373,000,000
1,650,000,000","—"
