"","1 0","Commission  to  Investigate","The  Commission    to  Investigate","Programme  01-","4,740,000","—","4,740,000"
"","","Allegations  of  Bribery  or","Allegations  of  Bribery  or","Operational","","",""
"","","Corruption","Corruption","Activities","","",""
"","","","Act,  No.  19  of  1994","","","",""
"5","1 6","Parliament","Article  65  of  the  Constitution","Programme  01-","2,550,000","—","2,550,000"
"","","","","Operational","","",""
"","","","","Activities","","",""
"","2 0","Elections  Commission","Article  103  of  the  Constitution","Programme  01-","3,780,000","—","3,780,000"
"","","","","Operational","","",""
"10","","","","Activities","","",""
"","2 1","National  Audit","Article  153  of  the  Constitution","Programme  01-","1,750,000","—","1,750,000"
"","","Office","","Operational","","",""
"","","","","Activities","","",""
"","2 2","Office  of  the  Parliamentary","Article  156  of  the  Constitution","Programme  01-","1,620,000","—","1,620,000"
"15","","Commissioner  for","","Operational","","",""
"","","Administration","","Activities","","",""
"","111 Ministry  of  Health","","Medical  Ordinance","Programme  01-","2,000","—","2,000"
"","","","(Chapter  105)","Operational","","",""
"","","","","Activities","","",""
