"","Head 304","","Department  of  Meteorology",""
"","","","Programme  02
Development  Activities","363,540,000
  425,030,000"
"","Head 320","","Department  of  Civil  Security",""
"","","","Programme  01
Development  Activities","20,030,580,000
  170,500,000"
"5","Head","325","Department  of  Sri  Lanka  Coast  Guard",""
"","","","Programme  01
Operational  Activities","65,600,000
441,000,000"
"","Head","334","Department  of  Multi-purpose  Development  Task  Force",""
"","","","Programme  01
Operational  Activities","13,736,380,000
33,500,000"
"","","","Ministry  of  Mass  Media",""
"","","","Recurrent
20,296,000,000",""
"10","","","",""
"","","","Capital
833,000,000",""
"","","Made  up  as  follows  :-","",""
"","Head","105","Minister  of    Mass  Media",""
"","","","Programme  01
Operational  Activities","290,050,000                     131,500,000"
"15","","","Programme  02
Development  Activities","71,950,000                     123,500,000"
"","Head","210","Department  of  Government    Information",""
"","","","Programme  01
Operational  Activities","315,000,000
          81,000,000"
"","Head","211","Department  of  Government  Printing",""
"","","","Programme  01
Operational  Activities","3,245,000,000
                145,000,000"
"20","Head","308","Department  of  Posts",""
"","","","Programme  02
Development  Activities","16,374,000,000
            352,000,000"
"","","","Ministry  of  Justice,Prison  Affairs  and  Constitutional  Reforms",""
"","","","Recurrent
23,236,770,000",""
"","","","Capital
8,588,600,000",""
