"","Head  300
Department  of  Food  Commissioner","",""
"","Programme  01  Operational  Activities","88,400,000","363,600,000"
"","Head  301
Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)","",""
"","Programme  01
Operational  Activities","70,600,000","21,200,000"
"5","Head  302
Co-operative  Employees  Commission","",""
"","Programme  01
Operational  Activities","20,300,000","1,400,000"
"","Ministry  of  Transport  and  Highways","",""
"","Recurrent
34,283,400,000","",""
"","Capital
272,825,000,000","",""
"10","Made  up  as  follows  :-","",""
"","Head
117
Minister  of  Transport  and  Highways","",""
"","Programme  01
Operational  Activities","682,600,000","19,600,000"
"","Programme  02
Development  Activities","10,450,000,000","260,894,700,000"
"","Head
306
Department  of  Sri  Lanka  Railways","",""
"15","Programme  02
Development  Activities","21,565,800,000","10,940,700,000"
"","Head
307
Department  of  Motor  Traffic","",""
"","Programme  02
Development  Activities","1,585,000,000","970,000,000"
"","Ministry  of  Agriculture","",""
"","Recurrent
  120,345,702,000","",""
"20","Capital
18,214,783,000","",""
