"","","Made  up  as  follows  :-","","",""
"","Head","102","Minister  of    Finance,  Economic  Stabilization  and  National  Policies","",""
"","","","Programme  01
Operational  Activities","1,915,921,000
    455,995,000",""
"","","","Programme  02
Development  Activities","-                 1,267,000,000",""
"5","Head","237","Department  of  National  Palnning","",""
"","","","Programme  01
Operational  Activities","133,157,670,000
    9,596,750,000",""
"","Head","238","Department  of  Fiscal  Policy","",""
"","","","Programme  01
Operational  Activities","80,480,000
            625,000",""
"","Head","239","Department  of  External    Resources","",""
"10","","","Programme  01
Operational  Activities","341,040,000
          1,262,825,000",""
"","Head","240","Department  of  National  Budget","",""
"","","","Programme  01
Operational  Activities","233,270,000
          278,000,000","Appropriation  (Amendment)"
"","","","Programme  02
Development  Activities","50,000,000,000
      17,603,264,000",""
"","Head","241","Department  of  Public  Enterprises","",""
"15","","","Programme  01
Operational  Activities","603,680,000       130,568,500,000",""
"","Head","242","Department  of  Management  Services","",""
"","","","Programme  01
Operational  Activities","117,520,000
            2,400,000",""
"","Head","243","Department  of  Development  Finance","",""
"","","","Programme  01
Operational  Activities","20,522,580,000
            925,000",""
"20","","","Programme  02
Development  Activities","-
  18,739,580,000",""
"","Head","244","Department  of  Trade  and  Investment  Policies","",""
"","","","Programme  01
Operational  Activities","59,498,000
      2,225,000",""
"","Head","245","Department  of  Public  Finance","",""
"","","","Programme  01
Operational  Activities","86,990,000
            6,100,000","7"
