"","","","I
II
III
IV","V"
"","SRL","Ministries / Departments","Item
Activities of the Government
Maximum
Minimum
Maximum","Maximum"
"","No.","","No.
Limits of
Limits of
Limits of","Limits of"
"","","","Expenditure
Receipts  to  be Debit Balance","Liabilities"
"","","","of Activities
credited  to  the
of Activities","of Activities"
"","","","of the
Accounts  of
of  the","of the"
"","","","Government
Activities  of the
Government","Government"
"","","","Government",""
"","","","Rs.
Rs.
Rs.","Rs."
"","6 4","Department  of  Social  Services","21601 Advances  to  Public  Officers
  25,000,000
  15,300,000
80,000,000","—"
"","6 5","Department  of  Probation  and","",""
"","","Child  Care  Services","21701 Advances  to  Public  Officers
15,000,000
10,000,000
60,000,000","—"
"","6 6","Department  of  Sports","",""
"5","","Development","21901 Advances  to  Public  Officers
13,000,000
9,500,000
  50,000,000","—"
"","6 7","Department  of  Ayurveda","22001 Advances  to  Public  Officers
50,000,000     36,000,000   140,000,000","—"
"","6 8","Department  of  Labour","22101 Advances  to  Public  Officers 100,000,000     70,000,000   290,000,000","—"
"","6 9","Sri  Lanka  Army","3,550,000,000
3,000,000,000
4,000,000,000
22201 Advances  to  Public  Officers","—"
"","7 0","Sri  Lanka  Navy","22301 Advances  to  Public  Officers
  500,000,000        400,000,000      600,000,000","—"
"10","7 1","Sri  Lanka  Navy","22302 Stores  Advance  Account",""
"","","","(Explosive  items)
            550,000,000 450,000,000   200,000,000","—"
"","7 2","Sri  Lanka  Air  Force","400,000,000
320,000,000
400,000,000
22401 Advances  to  Public  Officers","—"
"","7 3","Department  of  Police","1,200,000,000
1,000,000,000
1,200,000,000
22501 Advances  to  Public  Officers","—"
"","7 4","Department  of  Immigration  and","",""
"15","","Emigration","22601 Advances  to  Public  Officers
40,000,000
30,000,000 180,000,000","—"
"","7 5","Department  of  Registration  of","",""
"","","Persons","22701 Advances  to  Public  Officers
45,000,000
40,000,000 170,000,000","—"
"","7 6","Courts  Administration","500,000,000
350,000,000
1,500,000,000
22801 Advances  to  Public  Officers","—"
