"","","Description","New","Validity","Pictograph","Present"
"","","","classess","other","","Class"
"","","","","classes","",""
"","","500  KG  and  Gross","","","",""
"","","vehicle  weight  does","","","",""
"","","not  exceed  1000","","","",""
"","","kilograms;  motor","","","",""
"","","vehicle  in  this  class","","","",""
"","","include  an  invalid","","","",""
"","","carriage.","","","",""
"4","","(i) Motor  Lorry  –","C","C1,  G1","","B"
"","","Motor  Lorry  of","","B,  B1,","",""
"","","which  Gross","","J, G","",""
"","","Vehicle  Weight  is","","","",""
"","","more  than  17000","","","",""
"","","kilograms;  may  be","","","",""
"","","combined  with  a","","","",""
"","","trailer  having  a","","","",""
"","","maximum","","","",""
"","","authorized  tare","","","",""
"","","which  does  not","","","",""
"","","exceed  750","","","",""
"","","kilograms","","","",""
"","(ii)","Light  Motor  Lorry-","C 1","G,  G1,","","B"
"","","Motor  Lorry  of","","B, B1","",""
"","","which  Gross","","","",""
"","","Vehicle  Weight","","","",""
"","","exceeds  3500  and","","","",""
"","","does  not  exceeds","","","",""
"","","17000  kilograms;","","","",""
"","","motor  vehicles  in","","","",""
"","","this  class  may  be","","","",""
"","","combined  with  a","","","",""
"","","trailer  having  a","","","",""
"","","maximum","","","",""
"","","authorized  tare","","","",""
"","","which  does  not","","","",""
"","","exceed  750","","","",""
"","","kilograms;  motor","","","",""
"","","vehicles  of  this","","","",""
"","","class  include  a","","","",""
"","","motor  ambulance","","","",""
"","","and  motor  hearse.","","","",""
