"","Coding  System  Numbers  for  custom  purposes.","vehicle)"
"1","Trishaws,  Tractors  and  Motorcycle","2,000"
"2","(a)
Motor  cars  and  other  motor  vehicles",""
"","principally  designed  for  the  transport",""
"","of  persons  other  than  the  vehicles",""
"","referred  to  in  item  1","15,000"
"","(b)
Crew  cab,  double  cab  and  cargo  van",""
"3","The  following  vehicles  are  not  covered  by  the",""
"","above  items  1  and  2",""
"","(a)
Special  purpose  vehicles  other","10,000"
"","than  those  principally  designed",""
"","for  the  transport  of  persons  or  goods",""
"","(b)
Carriages  for  disabled  persons,",""
"","whether  or  not  motorized  or  otherwise",""
"","mechanically  propelled",""
