"","","","I","II","III","IV","V",""
"","wkql%ñl
wud;HdxY$fomd¾;fïka;=","úIh","wdKavqfõ","wdKavqfõ","wdKavqfõ","wdKavqfõ","wdKavqfõ",""
"","wxlh","wxlh","lghq;=","lghq;=","lghq;=","","lghq;=j, lghq;=j,",""
"","","","","i|yd","m
s
<
s
n|","yr","nerlï",""
"","","","","úhofuys",".
s
K
q","ïj,g fYaIhkaf.a","m
s
<
s
n|",""
"","","","","","Wmßu iSud ner l< hq;= Wmßu iSud Wmßu iSud","","",""
"","","","","",",eîïj,","","",""
"","","","","","wju iSud","","",""
"","","","","re'","re'","re'","re'",""
"","6
wêlrK  fiajd  fldñIka  iNdj","00701","rcfha  ks,Odßkag  w;a;sldrï","3""000""000","1""300""000","13""000""000","-",""
"","7
cd;sl  fmd,sia  fldñIka  iNdj","00801","rcfha  ks,Odßkag  w;a;sldrï","3""000""000","1""400""000","11""000""000","-",""
"","8
mßmd,k wNshdpk úksYaph wêldßh","00901","rcfha  ks,Odßkag  w;a;sldrï","1""500""000","400""000","3""500""000","-","úi¾ck"
"","9
w,a,ia  fyda  ¥IK  fpdaokd  úu¾Yk","","","","","","",""
"5","fldñIka  iNdj","01001","rcfha  ks,Odßkag  w;a;sldrï","8""000""000","3""500""000","30""000""000","-",""
"","10
w,a,ia  fyda  ¥IK  fpdaokd  úu¾Yk","","","","","","",""
"","fldñIka  iNdj","01002","w,a,ia  jeg,Sïj,  w,a,ia  jYfhka","","","","",""
"","","","mßyrKh  lsÍu  i|yd  w;a;sldrï 100""000""000","","1""000""000","275""000""000","-",""
"","11
uqo,a fldñIka iNd ld¾hd,h","01101","rcfha  ks,Odßkag  w;a;sldrï","3""000""000","1""700""000","13""000""000","-",""
"10","12
md¾,sfïka;=j","01601","rcfha  ks,Odßkag  w;a;sldrï","31""000""000","25""000""000","200""000""000","-",""
"","13
md¾,sfïka;=fõ  iNdkdhl;=udf.a","","","","","","",""
"","ld¾hd,h","01701","rcfha  ks,Odßkag  w;a;sldrï","2""000""000","2""000""000","6""000""000","-",""
"","14
md¾,sfïka;=fõ  wdKavq  mlaIfha","","","","","","",""
"","m%Odk  ixúOdhl;=udf.a  ld¾hd,h","01801","rcfha  ks,Odßkag  w;a;sldrï","2""700""000","2""000""000","9""000""000","-",""
