==== BLOCKS ==== 

wxl 2004$50 - 2017 fmnrjdß ui 01 jeks nodod - 2017'02'01

No. 2004/50 – WEDNESDAY, FEBRUARY 01, 2017

The Gazette of the Democratic Socialist Republic of Sri Lanka

(Published by Authority)

PART III – LANDS

Land Acquisition Notices

YS% ,xld m%cd;dka;s%l iudcjd§ ckrcfha .eiÜ m;%h

EXTRAORDINARY

w;s úfYI

This Gazette Extraordinary can be downloaded from www. documents.gov.lk1A

THE LAND ACQUISITION ACT (CHAPTER 460)

Notice under Section 7

Land Ministry No. : 4-3/6/2015/HW/290.

I hereby give notice under Sub-section (1) of Section 7 of theLand Acquisition Act, that the Government intends to acquirethe following lands which are required for a public purpose.

Description of the land to be acquired:

Lot No. E686 - E822 (Lots 91) allotments in total extent ofabout 6.0434 Hectares, of land FTP No. 4, SupplementNo. 260, Sheet No. 622 and dated 30.12.2016 prepared by theSinior - Superintendent of Survey of Hambantota District onbehalf of Survey General in the Minor Division of MagamPaththuwa in Grama Niladhari Divisions of Andarawewa(No. 109) in the village of Andarawewa in the DivisionalSecretary’s Division of Sooriyawewa in Hambantota Districtin the Southern Province.

01. Lot No. E687Name of land: -; Description: Road; Claimant: State; OriginalClaimant: - (a Part of Plot of Land No. B7716); Extent: 0.0391Hectare.

02. Lot No. E688Name of land: -; Description: Contains a Garden, MixedCultivation about 20-30 Years Old; Claimant: State; OriginalClaimant: - (Encroached Cultivation by Aluth DurageKusumsiri, Andarawewa, Sooriyawewa, a Part of Plot of LandNo. B7716); Extent: 0.0046 Hectare.

03. Lot No. E691Name of land: Andarayaya; Description: Contains a PapawCultivation; Claimant: State; Original Claimant: - (EncroachedCultivation by Ranaweera Gamaarachchige Santha Kularathna,Andarawewa, Sooriyawewa, a Part of Plot of Land No. B7703);Extent: 0.0033 Hectare.

04. Lot No. E692Name of land: -; Description: Road; Claimant: State; OriginalClaimant: - (a Part of Plot of Land No. B7703); Extent: 0.00781Hectare.

05. Lot No. E693Name of land: Andarayaya; Description: Contains a Garden,Papaw Cultivation; Claimant: State; Original Claimant: -(Encroached Cultivation by Gamaethige Raweendra BandhulaHarischandra, Andarawewa, Sooriyawewa, a Part of Plot ofLand No. B7703); Extent: 0.0023 Hectare.

06. Lot No. E694Name of land: Andarayaya; Description: Contains a Garden,Papaw Cultivation; Claimant: State; Original Claimant: -(Encroached Cultivation by Gamaethige Raweendra BandhulaHarischandra, Andarawewa, Sooriyawewa, a Part of Plot ofLand No. B7703); Extent: 0.0019 Hectare.

