"අංකය","","","","අ
ං
කය","(cid:7)මාණය  ස්වභාවය","(cid:28)rබඳ cස්තර","cස්තර"
"","(","ෙහ9ටයා^)","","","","",""
"16","","3.0397","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"18","","0.0640","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"24","","0.0257","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"27","","0.5129","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"51","","0.2269","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"53","","0.1248","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"57","","0.5125","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"75","","0.0822","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"79","","0.0328","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"83","","0.1194","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"119","","0.7268","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"123","","0.2289","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"125","","0.3181","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"127","","0.0998","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"129","","0.3359","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"131","","0.1368","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"135","","0.7487","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"136","","0.2995","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"137","","0.4047","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"139","","0.7685","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"157","","0.7504","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"158","","0.2431","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"164","","0.5908","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"168","","0.0396","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"171","","0.5598","රජය","–","ස)g^ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
