"njhlu;","ehL","ehl;Lf;","ehzak;","ehzaf;","nryhtzp"
",y.","","FwpaPL","","FwpaPL","t
jk;"
"","","","","","(,yq;if &ghtpy;)"
"45.","jha;thd;","TW","nlhyu;","TWD","6.0851"
"46.","jha;yhe;J","TH","ghj;","THB","6.0698"
"47.","If;fpa muG ,uhr;rpak;","AE","jpu;fhk;","AED","49.8384"
"48.","If;fpa ,uhr;rpak;","GB","];Nuypq; gTz;","GBP","237.7544"
"49.","If;fpa mnkupf;fh","US","nlhyu;","USD","183.0640"
"50.","rk;gpah (gioa)","ZM","f
tr;rh","ZMK","0.0352"
"51.","rk;gpah (Gjpa)","ZM","f
tr;rh","ZMW","13.2934"
"52.","rpk;ghNg","ZW","nlhyh;","ZWD","0.4824"
