"","Labour tribunal","Relevant jurisdiction of the"
"","","Magistrate’s Court"
"1.","Labour Tribunal No. 1","Chief Magistrate’s Court,"
"","","Colombo 12"
"2.","Labour Tribunal No. 2","Chief Magistrate’s Court,"
"","","Colombo 12"
"3.","Labour Tribunal No. 8","Chief Magistrate’s Court,"
"","","Colombo 12"
"4.","Labour Tribunal No. 13","Chief Magistrate’s Court,"
"","","Colombo 12"
"5","Labour Tribunal No. 33, Maharagama","Magistrate’s Court,"
"","","Homagama"
"6.","Labour Tribunal No. 32, Ratmalana","Magistrate’s Court, Mount"
"","","Lavinia"
"7.","Labour Tribunal No. 1/ Additional and Magistrate’s Court,",""
"","No. 2/ Additional, Battaramulla","Kaduwela"
"8.","Labour Tribunal No. 30, Kaduwela","Magistrate’s Court,"
"","","Kaduwela"
"9.","Labour Tribunal No. 19, Avissawella","Magistrate’s Court,"
"","","Avissawella"
