"වර්ෂය","ෙගවීම්"
"","පමාණය"
"","(
රු
.
)"
"3  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","20,000"
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන ෙදවන වර්ෂය සඳහා",""
"4  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","12,000"
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන ෙතවන වර්ෂය සඳහා",""
"5  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","10,000"
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන සිව්වන වර්ෂය සඳහා",""
"6  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","8,000"
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන පස්වන වර්ෂය සඳහා",""
"7  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","6,000"
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන හයවන වර්ෂය සඳහා",""
"8  ඒ අර්ධ සුෙඛෝපෙභෝගී ද්විත්ව කාර්ය","නැත”."
"ෙමෝටර් වාහනය ලියාපදිංචි කළ වර්ෂයට",""
"පසුව එළෙඹන හත්වන වර්ෂය සඳහා",""
