"fhzp vLj;jw; rl;lk; (mj;jpahak; 460)","","","ml;ltiz"
"33  Mk; gpuptpd; fPo; mwptpj;jy;","","",""
"","fhzpapd; ngau;",":","my;nfJLt tj;j> khtjahnfhlN`d>"
"","","","tk;guf`  ngny];]nfhl@"
"vdJ ,y.: NAG/LAND/5/1/13/com/Lot - 1241,","","",""
"1242, 1243, 1244, 1245.","","",""
"","tiugl  ,yf;fk;",":","m.f.gp.  526@"
"fhyp  khtl;lj;jpy;  f`gl  gj;Jt  tlf;F  -  ehnfhl  gpuNjr","","",""
"nrayhsu;  rP.gP.  uh[fUzh  Mfpa  vd;dhy;  fhzp  vLj;jw;","","",""
"","Jz;L  ,yf;fk;",":","1241> 1242> 1243 kw;Wk; 1244@"
"rl;lj;jpd; (460 MtJ mj;jpahak;) 33 MtJ tpjpapd; fPo; gpd;tUk;","","",""
"ml;ltizapy; tpgupf;fg;gl;Ls;s fhzpia vLg;gJ njhlu;ghf","","",""
"jpl;lkpl;l el;l<l;Lj; njhifahd vl;lhapuj;J vOE}w;Wg; gj;J","msT",":","01  Vf;fu;  01  W}l;16.7Ngu;r;@"
"&gh  (&.  8>710.00)  kw;Wk;  mJ  njhlu;ghd  tl;bg;  gzk;","","",""
"gj;jhapuj;J vOEhw;W ,Ugj;njhU &gh MW rjk; (&. 10>721.06)","","",""
"","miktplk;",":","fhyp khtl;lj;jpd; f`gl gj;Jt tlf;F"
"gzk;  cupikahsu;fSf;Fg;  ngWtjw;fhf  gj;Njfk  khtl;l","","",""
"","","","ehnfhl  gpuNjr  nrayhsu;  gpuptpy;"
"ePjpkd;wj;jpy;  tof;F  ,yf;fk;  vy;.V.  77  ,d;  fPo;  kPl;Ls;Nsd;","","",""
"vd;gij ,jDhlhf mwptpf;fpd;Nwd;.","","","khgyfk  fpuhkj;jpy;  mike;Js;sJ."
