"","","Mෙ1ෙග.ඩ","","","රම} (cid:7)භා",""
"","","","","","eෙ|නායක යන",""
"","","","","","අයෙ1 ~eත",""
"","","","","","(cid:127)8%යට යට&ව,",""
"302","0.0006","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"303","0.0003","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"304","0.0011","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"307","0.0041","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"308","0.0019","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"310","0.0011","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"311","0.0007","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"312","0.0004","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"315","0.0078","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"316","0.0036","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"319","0.0022","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"320","0.0011","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"323","0.0068","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"324","0.0073","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"327","0.0016","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"328","0.0034","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"329","0.0015","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"330","0.0017","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"331","0.0017","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"332","0.0070","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"334","0.0012","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"335","0.0014","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"336","0.0011","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"337","0.0012","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"338","0.0012","රජය","–","ස)k]ණ  (cid:7)ථම ප(cid:10)%ය","–","–"
