"wkq","rg","rfgys","jHjydr","jHjydr","úksuh"
"wxlh","","ixfla;h","u
o,a","u
o,a","m
udKhka"
"","","","","ixfla;h","^remsh,a&"
"1'","TiafÜ%,shdj","A U","fvd,¾","A U D","123.7000"
"2'","nyf¾ka","B H","äkd¾","B H D","483.0637"
"3'","nx.a,dfoaYh","B D","gld","B D T","2.1468"
"4'","n
i
,","B R","n%iS,a ßh,a","B R L","43.4035"
"5'","nDDkdhs","B N","nDDkdhs fvd,¾","B N D","133.8129"
"6'","lekvdj","C A","lefkaähka fvd,¾","C A D","137.5733"
"7'","Ökh","C N","frkañkaì hqjdka","C N Y","25.9831"
"8'","Ökh","C N","´*afIda","C N H","25.9899"
"9'","fpfldiaf,djelshdj","C Z","fldrekd","C Z K","7.8471"
"10'","fvkaud¾lh","D K","fl%dak¾","D K K","26.8745"
"11'","Bðma;=j","E G","mjqï","E G P","11.2903"
"12'","hQfrda l,dmh","","h
frda","E U R","200.8156"
"13'",">dkd","G H","fiaä","G H S","32.8459"
"14'","fydxfldx","H K","fvd,¾","H K D","23.2573"
"15'","yxf.aßhdj","H U","f*dßkaÜ","H U F","0.6008"
"16'","bkaÈhdj","I N","remsh,a","I N R","2.5305"
"17'","bkaÿkSishdj","I D","remshd","I D R","0.0130"
"18'","brdkh","I R","ßhd,a","I R R","0.0043"
"19'","cmdkh","J P","fhka","J P Y","1.6775"
"20'","fcda¾odkh","J O","äkd¾","J O D","256.8584"
"21'","ol=Kq fldßhdj","K R","fjdka","K R W","0.1561"
"22'","l=fõÜ","KW","äkd¾","K W D","599.6464"
"23'","ueldjq","M O","megld","M O P","22.5806"
"24'","u,hdishdj","M Y","ßkaðÜ","M Y R","43.8878"
"25'","ud,Èjhsk","MV","re*shd","M V R","11.7796"
"26'","u
reish","M U","remsh,a","M U R","4.9690"
"27'","ñhkaud¾","MM","l
hdÜ","MMK","0.1201"
"28'","fkamd,h","N P","remsh,a","N P R","1.5814"
"29'","kjiS,ka;h","N Z","fvd,¾","N Z D","116.3062"
"30'","khsÔßhdj","N G","khsrd","N G N","0.5924"
"31'","fkda¾fõ","N O","fl%daka","N O K","19.9241"
"32'","´udka","O M","ßhd,a","O M R","473.0259"
"33'","mlsia:dkh","P K","remsh,a","P K R","1.1728"
"34'","memqjd ksõ.skshdj","P G","l
kd","P G K","53.5411"
"35'","m
,
m
kh","P H","fmafida","P H P","3.5994"
"36'","fmda,ka;h","P L","i
a
f,dá","P LN","46.8788"
"37'","lgd¾","Q A","ßhd,a","Q A R","50.0172"
"38'","reishdj","RU","rEn,a","RUB","2.8475"
"39'","fi!È wrdìhdj","S A","ßhd,a","S A R","48.5608"
