"","II වන උපලේ�ඛනය"
"01.","2016 ජානවාරි මස 19 වැනි දිංන අංක 1950/27 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"02.","2016 ජූලි මස 14 වැනි දිංන අංක 1975/48 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"03.","2018 ජානවාරි මස 11 වැනි දිංන අංක 2053/40 දරන දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"04.","2018 අතේේල් මස 19 වැනි දිංන අංක 2067/17 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"05.","2019 මැයි මස 02 වැනි දිංන අංක 2121/43 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"06.","2019 මැයි මස 29 වැනි දිංන අංක 2125/47 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"07.","2019 තේදසැම්බර් මස 30 වැනි දිංන අංක 2156/10 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"08.","2020 තේපබරවාරි මස 27 වැනි දිංන අංක 2164/54 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"09.","2021 අතේේල් මස 22 වැනි දිංන අංක 2224/26 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"10.","2022 තේපබරවාරි මස 25 වැනි දිංන අංක 2268/87 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"11.","2022 අතේගා්ස්තු මස 25 වැනි දිංන අංක 2294/52 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"12.","2022 ඔක්තේතා්බර් මස 19 වැනි දිංන අංක 2302/17 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"13.","2023 තේපබරවාරි මස 20 වැනි දිංන අංක 2320/16 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"14.","2023 ජූලි මස 17 වැනි දිංන අංක 2341/08 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"15.","2023 සැප්තැම්බර් මස 07 වැනි දිංන අංක 2348/37 දරන අති විතේශ්ෂ ගැසට් පත්‍රය"
"16.","2023 තේනාවැම්බර් මස 03 වැනි දිංන අංක 2356/32 දරඅති විතේශ්ෂ ගැසට් පත්‍රය"
