"","Head","234","Registrar  of  the  Supreme  Court","","",""
"","","","Programme  01
Operational  Activities","","182,320,000","13,270,000"
"","Head","235","Department  of  Law  Commission","","",""
"","","","Programme  01
Operational  Activities","","17,640,000","2,450,000"
"5","Head","326","Department  of  Community  Based  Corrections","","",""
"","","","Programme  01
Operational  Activities","","296,870,000","16,450,000"
"","","","Ministry  of  Health,  Nutrition  and  Indigenous  Medicine","","",""
"","","","Recurrent","143,625,998,000","",""
"","","","Capital","41,856,400,000","",""
"10","","Made  up  as  follows:-","","","",""
"","Head","111","Minister  of  Health,  Nutrition  and  Indigenous  Medicine","","",""
"","","","Programme  01
Operational  Activities","","125,920,048,000","11,822,200,000"
"","","","Programme  02
Development  Activities","","16,038,950,000","29,557,200,000"
"","Head","220","Department  of  Ayurveda","","",""
"15","","","Programme  01
Operational  Activities","","119,  300,000","13,100,000"
"","","","Programme  02
Development  Activities","","1,547,700,000","463,900,000"
"","","","Ministry  of  Foreign  Affairs","","",""
"","","","Recurrent","10,744,000,000","",""
