"","109","Department  of  Management","","","",""
"","","Services","24201 Advances  to  Public  Officers","6,500,000","3,000,000
26,000,000","—"
"","110","Department  of  Development","","","",""
"","","Finance","24301 Advances  to  Public  Officers","4,000,000","1,200,000
14,000,000","—"
"5","111","Department  of  Trade  and","","","",""
"","","Investment  Policy","24401 Advances  to  Public  Officers","4,000,000","2,000,000
14,000,000","—"
"","112","Department  of  Public  Finance","24501 Advances  to  Public  Officers","5,000,000","2,700,000
15,000,000",""
"","113","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers 105,000,000","","92,000,000 415,000,000","—"
"","114","Sri  Lanka  Customs","24701 Advances  to  Public  Officers","62,000,000","48,000,000 330,000,000","—"
"10","115","Sri  Lanka  Customs","24702 Seized  and  forfieted  goods","","",""
"","","","Advance  Account","16,000,000","4,000,000
85,000,000","—"
"","116","Department  of  Excise","24801 Advances  to  Public  Officers","60,000,000","40,000,000 220,000,000","—"
"","117","Department  of  Treasury","","","",""
"","","Operations","24901 Advances  to  Public  Officers","10,000,000","4,000,000
28,000,000","—"
"15","118","Department  of  State  Accounts","25001 Advances  to  Public  Officers","5,000,000","2,000,000
16,000,000","—"
"","119","Department  of  State  Accounts","25002 Advances  for  Payments","","",""
"","","","on  behalf  of  other","","",""
"","","","Governments","4,000,000","2,000,000
2,800,000","—"
"","120","Department  of  State  Accounts","25003 Miscellaneous  Advances","10,000,000","2,000,000   200,000,000","—"
"20","121","Department  of  Valuation","25101 Advances  to  Public  Officers","31,000,000","18,000,000   100,000,000","—"
"","122","Department  of  Census  and","","","",""
"","","Statistics","25201 Advances  to  Public  Officers","50,000,000","35,000,000 210,000,000","—"
"","123","Department  of  Pensions","25301 Advances  to  Public  Officers","51,000,000","32,000,000 225,000,000","—"
