"","","","THIRD  SCHEDULE","","","",""
"","","","ESTIMATE — 2019","","","",""
"","","","Limits  of  Advance  Account  Activities","","","",""
"","","","I","II","III","IV","V"
"","SRL","Ministry / Department","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"","No.","","No.","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts  to  be Debit Balance","","Liabilities"
"","","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","","of the","Accounts  of","of  the","of the"
"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"","1","His  Excellency  the  President","00101 Advances  to  Public  Officers","50,000,000","19,000,000 160,000,000","","—"
"","2","Office  of  the  Prime  Minister","00201 Advances  to  Public  Officers","23,000,000","11,000,000","77,000,000","—"
"","3","Judges  of  the  Superior  Courts","00401 Advances  to  Public  Officers","2,000,000","400,000","3,500,000","—"
"","4","Office  of  the  Cabinet  of  Ministers","00501 Advances  to  Public  Officers","4,000,000","2,600,000","27,000,000","—"
"5","5","Public  Service  Commission","00601 Advances  to  Public  Officers","13,000,000","5,000,000","38,000,000","—"
"","6","Judicial  Service  Commission","00701 Advances  to  Public  Officers","3,600,000","2,100,000","20,000,000","—"
"","7","National  Police  Commission","00801 Advances  to  Public  Officers","3,500,000","1,600,000","11,000,000","—"
"","8","Administrative  Appeals  Tribunal","00901 Advances  to  Public  Officers","1,300,000","500,000","3,500,000","—"
"","9","Commission  to  Investigate","","","","",""
"10","","Allegations  of  Bribery  or","","","","",""
"","","Corruption","01001 Advances  to  Public  Officers","10,000,000","4,000,000","30,000,000","—"
"","1 0","Commision  to  Investigate","01002 Advancing  monies  to  be","","","",""
