"","Head","244","Department  of  Trade  and  Investment  Policy","",""
"","","","Programme  01
Operational  Activities","51,800,000","800,000"
"","Head","245","Department  of  Public  Finance","",""
"","","","Programme  01
Operational  Activities","72,660,000","13,400,000"
"5","Head","246","Department  of  Inland  Revenue","",""
"","","","Programme  01
Operational  Activities","3,999,650,000","2,907,000,000"
"","Head","247","Sri  Lanka  Customs","",""
"","","","Programme  01
Operational  Activities","2,814,100,000","326,850,000"
"","Head","248","Department  of  Excise","",""
"10","","","Programme  01
Operational  Activities","1,182,500,000","261,000,000"
"","Head","249","Department  of  Treasury  Operations","",""
"","","","Programme  01
Operational  Activities","23,131,585,000","1,009,300,000"
"","Head","250","Department  of  State  Accounts","",""
"","","","Programme  01
Operational  Activities","57,850,000","3,500,000"
"","Head","251","Department  of  Valuation","",""
"15","","","","",""
"","","","Programme  01
Operational  Activities","401,720,000","29,200,000"
"","Head","323","Department  of  Legal  Affairs","",""
"","","","Programme  01
Operational  Activities","12,320,000","900,000"
"","Head","324","Department  of  Management  Audit","",""
"20","","","Programme  01
Operational  Activities","54,140,000","3,300,000"
