"","186","Department  of  National","","","","","",""
"","","Botanical  Gardens","32201 Advances  to  Public  Officers","33,000,000","18,500,000 100,000,000","","—",""
"","187","Department  of  Legal  Affairs","32301 Advances  to  Public  Officers","1,000,000","200,000","3,000,000","—",""
"","188","","Department  of  Management  Audit 32401 Advances  to  Public  Officers","4,800,000","2,000,000","11,000,000","—",""
"5","189","Department  of  Community  Based","","","","","",""
"","","Corrections","32601 Advances  to  Public  Officers","25,000,000","8,000,000","60,000,000","—",""
"","190","Department  of  Land  Use  Policy","","","","","",""
"","","Planning","32701 Advances  to  Public  Officers","24,000,000","16,000,000","80,000,000","—",""
"","191","Department  of  Manpower  and","","","","","",""
"10","","Employment","32801 Advances  to  Public  Officers","15,000,000","11,000,000","70,000,000","—",""
"","192","Department  of  Information","","","","","",""
"","","Technology  Management","32901 Advances  to  Public  Officers","2,500,000","700,000","8,000,000","—",""
"","193","Department  of  Samurdhi","","","","","",""
"","","Development","","33101 Advances  to  Public  Officers 325,000,000 275,000,000 215,000,000","","","—","Appropriation"
"15","194","Department  of  National","","","","","",""
"","","Community  Water  Supply","33201 Advances  to  Public  Officers","13,000,000","3,000,000","30,000,000","—",""
"","195","Comptroller  General’s  Office","33301 Advances  to  Public  Officers","2,000,000","900,000","7,000,000","—",""
"","","Total","","27,373,850,000","21,373,850,000","66,987,500,000","3,143,000,000",""
