"","8 2","Department  of  Social  Services","21601 Advances  to  Public  Officers","26,000,000","15,500,000","90,000,000","—"
"","8 3","Department  of  Probation  and","","","","",""
"","","Child  Care  Services","21701 Advances  to  Public  Officers","20,000,000","10,500,000","80,000,000","—"
"","8 4","Department  of  Sports","","","","",""
"5","","Development","21901 Advances  to  Public  Officers","16,000,000","7,500,000","50,000,000","—"
"","8 5","Department  of  Ayurveda","22001 Advances  to  Public  Officers","55,000,000","33,000,000 190,000,000","","—"
"","8 6","Deparatment  of  Labour","22101 Advances  to  Public  Officers","78,000,000","65,000,000 280,000,000","","—"
"","8 7","Sri  Lanka  Army","22201 Advances  to  Public  Officers","3,766,950,000","2,580,000,000","5,965,000,000","—"
"","8 8","Sri  Lanka  Navy","","22301 Advances  to  Public  Officers  560,000,000 510,000,000 900,000,000","","","—"
"10","8 9","Sri  Lanka  Navy","22302 Stores  Advance  Account","","","",""
"","","","(Explosive  items)","570,000,000 640,000,000 200,000,000","","","—"
"","9 0","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","510,000,000","418,000,000","1,000,000,000","—"
"","9 1","Department  of  Police","22501 Advances  to  Public  Officers","1,150,000,000","1,080,000,000","2,300,000,000","—"
"","9 2","Department  of  Immigration","","","","",""
"15","","and  Emigration","22601 Advances  to  Public  Officers","42,000,000","32,000,000 160,000,000","","—"
"","9 3","Department  of  Registration  of","","","","",""
"","","Persons","22701 Advances  to  Public  Officers","46,000,000","23,000,000 150,000,000","","—"
"","9 4","Courts  Administration","22801 Advances  to  Public  Officers","485,000,000","310,000,000","1,650,000,000","—"
"","9 5","Department  of  Attorney  General","22901 Advances  to  Public  Officers","25,000,000","17,000,000","80,000,000","—"
"20","9 6","Department  of  Legal  Draftsman","23001 Advances  to  Public  Officers","7,000,000","3,200,000","20,000,000","—"
