"","16","ghuhSkd;wk;","murpayikg;gpd;  65  Mk;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"","","","cWg;Giu","nrad;Kiwr;","","","",""
"","","","","nraw;ghLfs;","2,700,000","–","2,700,000",""
"","20","Njh;jy;fs;","murpayikg;gpd;  103  Mk;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"5","","Mizf;FO","cWg;Giu","nrad;Kiwr;","","","",""
"","","","","nraw;ghLfs;","5,940,000","–","5,940,000",""
"","21","fzf;fha;thsh;","murpayikg;gpd;  153  Mk;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"","","mjpgjp","cWg;Giu","nrad;Kiwr;","","","",""
"","","jpizf;fsk;","","nraw;ghLfs;","1,880,000","–","1,880,000",""
"10","22","epUthfj;jpw;fhd","murpayikg;gpd;  156  Mk;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"","","ghuhSkd;w  Miz","cWg;Giu","nrad;Kiwr;","","","",""
"","","ahsh; mYtyfk;","","nraw;ghLfs;","1,620,000","–","1,620,000","xJf;fPL (jpUj;jk;)"
"","111","Rfhjhu  mikr;R","kUj;Jtf;  fl;lisr;  rl;lk;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"","","","(105  Mk;  mj;jpahak;)","nrad;Kiwr;","","","",""
"","","","","","2,000","–","2,000",""
"15","","","","nraw;ghLfs;","","","",""
"","249","jpiwNrhpr; nraw;ghLfs;","1957  Mk;    Mz;bd;","epfo;r;rpj;  jpl;lk;  01-","","","",""
"","","jpizf;fsk;","29 Mk;  ,yf;f>  ntsp","nrad;Kiwr;","","","",""
"","","","ehl;Lf;  fld;fs;  rl;lk;","nraw;ghLfs;","1,334,000,000,000   1,505,000,000,000    2,839,000,000,000","","",""
"","","","[ge;jp (m) kw;Wk; (,) gphpT","","","","",""
"20","","","(2)] Njrpa   jpiwNrhp","","","","",""
"","","","cz;bay;fs;  fl;lisr;rl;lk;","","","","",""
"","","","(mj;jpahak; 417) 2018 Mk;","","","","",""
"","","","Mz;bd;  8  Mk;  ,yf;f>","","","","",""
"","","","jPtpug;  nghWg;G  Kfhikr;","","","","",""
"","","","rl;lj;jpd;  gphpT  6(1)","","","","",""
"25","","","","","","","",""
