"Column  I","","Column II","Column III","Column  IV"
"Name  of  the  Divisional","","Name  and  Number  of  Grama","Administrative  boundaries","Effective  Date"
"Secretary’s","","Niladhari  Division  of  the","of  Divisional  Secretary’s","of  the"
"Division","","Divisional  Secretary’s  Division","Division","Provisions"
"Nuwaraeliya","476-A","-  Kirimetiya","",""
"(Contd.)","476-B","- Perakumpura","",""
"","476-C","- Bangalahatha","",""
"","476-D","- Ruwaneliya","",""
"","476-E","-  Windycorner","",""
"","476-F","-Magoda","",""
"","476-G","- Mihindupura","",""
"","476-H","- Meepilimana","",""
"","477","-  Pattipola","",""
"","477-A","- Ambewela","",""
