"","220/B","- Sandarawala","",""
"","220/C","- Ganegama West","",""
"Wanduramba","","","North - Divisional Seretary’s","07.05.2019"
"","186 /A","- Idurupathwila","",""
"","","","Division Nagoda",""
"","186/D","-  Weihena","",""
"","189","- Mabotuwana","",""
"","","","South- BopePoddala and",""
"","189/A","- Naththewela","Akmeemana Divisional Secretary’s",""
"","189/B","- Thalawa","Division",""
"","190","- IhalaLelwala","",""
"","","","East- Divisional Secretary’s",""
"","190 /A","- Kumbalamalahena","",""
"","","","Division Yakkalamulla",""
"","190/B","- Panwila","",""
"","191","- PahalaLelwala","West - Divisional Secretary’s",""
"","","","Division Baddegama",""
"","191/A","- Kokawela","",""
"","191/B","- Polgahawila","",""
"","191/C","- Deiyandara","",""
"","191/D","- Kirindalahena","",""
"","200","-Medakeembiya","",""
"","200/A","-Medakeembiya East","",""
"","200/B","- Pitiharawa","",""
"","200/C","-Thiruwanaketiya","",""
"","207","- IhalaKeembiya","",""
"","207/A","- IhalaKeembiya South","",""
"","221","- Wanduramba","",""
"","221/A","- Wanduramba South","",""
"","221  /B","-Gulugahakanda","",""
