"","474-J","-Helboda","",""
"","474-L","-Wedamulla","",""
"","474-M","-Protof","",""
"Kothmale  (West)","458","-Ranwanthalawa","North- Mahaweli River,","07.05.2019"
"","","","KothmaleOya, Divisional",""
"","459","-Kadadora","",""
"","","","Secretary’s Division Udapalatha",""
"","459-A","-Kotagepitiya  South","",""
"","459-B","-Kotagepitiya  North","",""
"","","","East- Kothmale Reservoir and",""
"","459-C","-Nayapana","",""
"","","","KothmaleOya,  456-D",""
"","460","-Hapugasthalawa","Nawamorape, 456- B Mawela",""
"","460-A","-Doruwadeniya","West,  457  MaswelaGrama",""
"","","","Niladhari Divisions",""
"","460-B","-Kolapathana","",""
"","460-C","-Ruwanpura","",""
"","","","South- Divisional Secretary’s",""
"","460-D","-Dambagalla","",""
"","","","Division Nuwaraeliya",""
"","460-E","-Kaludemada","",""
"","460-F","-Mallanda","West- Mahaweli River,",""
"","460-G","-Ketambulawa","KorawakkaOya, Divisional",""
"","","","Secretary’s Division Nuwaraeliya",""
"","460-H","-Hunugaloya","",""
"","460-I","-Thelissagala","",""
"","460-J","-IhalaGorakaoya","",""
"","460-K","-Polwathura","",""
