"wkq","m
y
àu","j¾.h",".fÕa$c, ud¾.fha$ud¾.fha ku","k
¾ñ;fhys","k
¾ñ;fhys"
"wxlh","l
'ó'","","","È.","m<,$úYalïNh"
"","","","","^óg¾&","^óg¾&"
"1","0+000","mhsmam fndalal=","nEjqu  8","28.10","2 / 1.20"
"2","0+000","mhsmam fndalal=","nEjqu 5","33.20","2 / 1.20"
"3","0+065","mhsmam fndalal=","","21.88","1 / 0.60"
"4","0+220","mhsmam fndalal=","nEjqu  2","21.96","1 / 0.60"
"5","0+250","mhsmam fndalal=","nEjqu 5","16.01","1 / 0.60"
"6","0+300","mhsmam fndalal=","nEjqu 5","17.32","1 / 0.60"
"7","0+320","fmÜá fndalal=","nEjqu 4","27.70","4.50  (oajdx.)"
"8","0+375","mhsmam fndalal=","","17.98","1 / 0.60"
"9","0+400","fmÜá fndalal=","nEjqu  3","26.30","4.50  (oajdx.)"
"10","0+540","mhsmam fndalal=","","84.62","2 / 1.20"
"11","0+630","ÿïßh  Wvqìï","fld<U - wúiaidfõ,a, ÿïßh","20.00","37.00"
"","","ud¾.h","ud¾.h","",""
"12","0+655","fmÜá fndalal=","","68.40","2.00  (tAldx.)"
"13","0+839","r:jdyk  hgìï","frday, mdr ^ud,m,a,&","37.40","10.90  (tAldx.)"
"","","ud¾.h","","",""
"14","1+000","fmÜá fndalal=","","44.00","2.00  (tAldx.)"
"15","1+216","r:jdyk  Wvqìï","fldÜgdj - w;=re.sßh ud¾.h","42.00","10.90"
"","","ud¾.h","(relauf,a)","",""
