"","Head","149","Minister  of  Industry  and  Commerce,  Resettlement  of  Protracted  Displaced  Persons",""
"","","","and  Co-operative  Development",""
"","","","Programme  01  Operational  Activities
692,550,000","3,727,000,000"
"","","","Programme  02  Development  Activities
1,716,350,000","6,304,000,000"
"10","Head","297","Department  of  the  Registrar  of  Companies",""
"","","","Programme  01  Operational  Activities
68,000,000","—"
"","Head","298","Department  of  Measurement  Units,  Standards  and  Services",""
"","","","Programme  01  Operational  Activities
111,000,000","10,000,000"
"","Head","301","Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)",""
"15","","","Programme  01  Operational  Activities
75,000,000","34,000,000"
"","Head","302","Co-operative  Employees  Commission",""
"","","","Programme  01  Operational  Activities
17,000,000","2,000,000"
