"","Head Unit/Ministry/Department/
Law  under  which","Expenditure","Recurrent","Capital","Total"
"","No.
Institution  by  whom
expenditure  is","Programme","expenditure","expenditure","expenditure"
"","expenditure  is  incurred
  authorized","","Rs.","Rs.","Rs."
"","1
His  Excellency  the  President Article  36  of  the  Constitution","Programme  01-","3,510,000","—","3,510,000"
"","","Operational","","",""
"","","Activities","","",""
"","4
Judges  of  the  Superior
Article  108  of  the  Constitution","Programme  01-","50,500,000","—","50,500,000"
"5","Courts","Operational","","",""
"","","Activities","","",""
"","6
Public  Service  Commission
Chapter  IX    of  the  Constitution","Programme  01-","10,260,000","—","10,260,000"
"","","Operational","","",""
"","","Activities","","",""
"10","7
Judicial  Service  Commission Chapter    XV  A    of  the","Programme  01-","2,600,000","—","2,600,000"
"","Constitution","Operational","","",""
"","","Activities","","",""
"","8
National  Police  Commission Chapter    XVIII  A    of  the","Programme  01-","8,100,000","—","8,100,000"
"","Constitution","Operational","","",""
"","","Activities","","",""
"15","","","","",""
