"","7 8","Sri  Lanka  Navy","","22301 Advances  to  Public  Officers  560,000,000 510,000,000 900,000,000","","","—",""
"","7 9","Sri  Lanka  Navy","22302 Stores  Advance  Account","","","","",""
"","","","(Explosive  items)","570,000,000 640,000,000 200,000,000","","","—",""
"","8 0","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","510,000,000","418,000,000","1,000,000,000","—",""
"5","8 1","Department  of  Police","22501 Advances  to  Public  Officers","1,150,000,000","1,080,000,000","2,300,000,000","—",""
"","8 2","Department  of  Immigration","","","","","",""
"","","and  Emigration","22601 Advances  to  Public  Officers","42,000,000","32,000,000 160,000,000","","—",""
"","8 3","Department  of  Registration  of","","","","","",""
"","","Persons","22701 Advances  to  Public  Officers","46,000,000","23,000,000 150,000,000","","—",""
"10","8 4","Courts  Administration","22801 Advances  to  Public  Officers","485,000,000","310,000,000","1,650,000,000","—","Appropriation"
"","8 5","Department  of  Attorney  General","22901 Advances  to  Public  Officers","25,000,000","17,000,000","80,000,000","—",""
"","8 6","Department  of  Legal  Draftsman","23001 Advances  to  Public  Officers","7,000,000","3,200,000","20,000,000","—",""
"","8 7","Department  of  Debt  Conciliation","","","","","",""
"","","Board","23101 Advances  to  Public  Officers","1,500,000","500,000","4,500,000","—",""
"15","8 8","Department  of  Prisons","","23201 Advances  to  Public  Officers 180,000,000 135,000,000 435,000,000","","","—",""
"","8 9","Department  of  Prisons","23202 Prisons  Industrial  and","","","","",""
"","","","Agricultural  Undertakings","100,000,000","130,000,000","65,000,000","12,000,000",""
"","9 0","Department  of  Government","","","","","",""
"","","Analyst","23301 Advances  to  Public  Officers","9,000,000","5,500,000","35,000,000","—",""
"20","9 1","Registrar  of  the  Supreme  Court","23401 Advances  to  Public  Officers","18,000,000","10,000,000","46,000,000","—","49"
